37716,836,0
37716,6170,1
37716,6129,1
37716,3648,0
37716,1690,0
37716,6081,1
37716,1267,1
37716,4447,1
37716,5478,0
37716,7042,0
37716,5031,1
37716,6630,0
37716,4901,0
37716,1849,1
37716,110,1
37716,258,1
37716,1033,0
37716,6311,0
37716,1334,1
37716,6930,1
37716,2463,1
37716,466,0
37716,4710,1
37716,1538,0
37716,3222,1
37716,5843,1
37716,3437,1
37716,7444,0
37716,1557,1
37716,4565,1
37716,5399,0
37716,3821,1
37716,3397,1
37716,2251,1
37716,2737,0
37716,221,0
37716,596,0
37716,5879,0
37716,1088,1
37716,5447,0
37716,993,0
37716,5720,0
37716,1368,1
37716,3671,0
37716,5622,0
37716,7358,1
37716,7610,1
37716,6896,1
37716,5542,0
37716,5488,1
37716,2677,1
37716,1294,0
37716,4237,0
37716,2740,0
37716,607,1
37716,5370,0
37716,5326,0
37716,1852,1
37716,6325,0
37716,940,0
37716,5236,1
37716,7342,1
37716,2193,1
37716,4050,1
37716,3275,0
37716,7462,0
37716,4368,1
37716,2923,0
37716,4006,1
37716,231,0
37716,3237,0
37716,2283,0
37716,4493,1
37716,6846,1
37716,5921,1
37716,5359,1
37716,7599,1
37716,2212,1
37716,5696,1
37716,469,0
37716,3083,1
37716,1192,1
37716,7556,1
37716,1675,0
37716,143,1
37716,3648,1
37716,346,1
37716,29,0
37716,3792,0
37716,3409,1
37716,1030,0
37716,124,0
37716,6255,0
37716,5046,1
37716,4041,1
37716,4114,0
37716,5316,0
37716,3554,0
37716,3355,0
37716,5639,1
37716,2476,1
37716,7159,0
37716,612,0
37716,5319,1
37716,2699,0
37716,6822,1
37716,1276,0
37716,7284,1
37716,4266,1
37716,7018,0
37716,3115,0
37716,4156,0
37716,5138,1
37716,3811,0
37716,2416,0
37716,5654,0
37716,502,0
37716,3874,1
37716,4661,1
37716,80,1
37716,4041,1
37716,6069,0
37716,648,1
37716,6753,0
37716,1442,1
37716,4041,0
37716,4124,0
37716,5069,0
37716,2467,1
37716,5262,1
37716,2802,1
37716,2426,0
37716,4901,1
37716,5031,1
37716,4870,1
37716,6881,1
37716,2212,0
37716,6664,1
37716,7444,0
